Element,Type
Hydrogen,Non-metal
Helium,Non-metal
Lithium,Metal
Beryllium,Metal
Boron,Metalloid
Carbon,Non-metal
Nitrogen,Non-metal
Oxygen,Non-metal
Fluorine,Non-metal
Neon,Non-metal
Sodium,Metal
Magnesium,Metal
Aluminium,Metal
Silicon,Metalloid
Phosphorus,Non-metal
Sulfur,Non-metal
Chlorine,Non-metal
Argon,Non-metal
Potassium,Metal
Calcium,Metal
Iron,Metal
Copper,Metal
Zinc,Metal
Silver,Metal
Gold,Metal
Germanium,Metalloid
Arsenic,Metalloid
Antimony,Metalloid
Tellurium,Metalloid
